007 Racing,5.0,0.53	
007: Tomorrow Never Dies,5.0,3.21	
1 vs. 100,6.0,0.09	
101-in-1 Explosive Megamix,2.5,0.2	
1701 A.D.,8.2,0.3	
1942,4.75,1.0	
2002 FIFA World Cup,8.5,0.83	
2010 FIFA World Cup South Africa,7.275,3.0	
2014 FIFA World Cup Brazil,7.5,1.18	
24: The Game,6.6,0.3	
300: March to Glory,5.7,0.41	
3D Dot Game Heroes,8.5,0.57	
4 Elements,8.0,0.05	
40 Winks,5.5,0.31	
50 Cent: Blood on the Sand,7.1,0.4	
50 Cent: Bulletproof,6.5,2.3	
7 Days to Die,4.9,0.16	
7 Wonders of the Ancient World,5.55,0.21	
7 Wonders: Treasures of Seven,5.9,0.05	
A Boy and His Blob,7.6,0.22	
A Bug's Life,4.6,3.42	
A Game of Thrones: Genesis,6.0,0.04	
A Vampyre Story,7.6,0.02	
A Witch's Tale,6.0,0.11	
A-Train,6.0,0.08	
AMF Bowling 2004,5.0,0.3	
AMF Bowling World Lanes,2.5,0.36	
AMF Xtreme Bowling,7.0,0.02	
ATV Offroad Fury 2,9.0,2.18	
ATV Offroad Fury 3,9.2,1.2	
ATV Offroad Fury Pro,7.9,0.46	
ATV Offroad Fury,7.65,2.41	
ATV Offroad Fury: Blazin' Trails,7.5,0.57	
ATV Quad Power Racing 2,6.63333333333,1.57	
ATV: Quad Frenzy,4.8,0.11	
Ace Attorney Investigations: Miles Edgeworth,7.6,0.76	
Ace Combat 2,9.0,0.89	
Ace Combat 3: Electrosphere,9.0,0.83	
Ace Combat 5: The Unsung War,9.3,1.71	
Ace Combat 6: Fires of Liberation,8.4,1.02	
Ace Combat X: Skies of Deception,8.7,0.99	
Ace Combat Zero: The Belkan War,8.8,0.51	
Ace Combat: Joint Assault,6.5,0.29	
Action Bass,5.0,1.14	
Active Life: Extreme Challenge,5.0,0.48	
Activision Anthology,8.5,0.55	
Adidas Power Soccer,7.0,0.04	
Adrenalin Misfits,5.0,0.14	
Advance Guardian Heroes,6.0,0.04	
Advance Wars 2: Black Hole Rising,9.0,0.65	
Advance Wars,9.9,0.7	
Advance Wars: Dual Strike,9.0,0.4	
Advent Rising,7.85,0.13	
Adventure Island,6.16666666667,1.05	
Adventure Time: Explore the Dungeon Because I Don't Know!,3.5,0.3	
Adventures of Lolo,8.0,0.06	
Aeon Flux,7.8,0.05	
Aero Elite: Combat Academy,6.5,0.07	
Aero Gauge,5.2,0.07	
AeroFighters Assault,5.0,0.19	
Afrika,3.5,0.21	
Afro Samurai,6.6,0.44	
Again,4.5,0.07	
Agatha Christie: And Then There Were None,5.95,0.08	
Agatha Christie: Death on the Nile,5.3,0.02	
Agatha Christie: Evil Under the Sun,5.3,0.09	
Age of Conan: Rise of the Godslayer,7.9,0.03	
Age of Empires II: The Age of Kings,8.8,0.1	
Age of Empires III,8.8,0.39	
Age of Empires III: The Asian Dynasties,8.0,0.07	
Age of Empires Online,7.0,0.06	
Age of Empires: Mythologies,8.6,0.22	
Age of Empires: The Age of Kings,8.2,0.23	
Age of Mythology,9.3,0.09	
Age of Mythology: The Titans,8.9,0.04	
Aggressive Inline,8.65,0.47	
Agile Warrior F-111X,2.0,0.14	
Aidyn Chronicles: The First Mage,4.2,0.1	
Air Combat,7.0,1.83	
Air Conflicts: Aces of World War II,2.0,0.05	
Air Conflicts: Secret Wars,6.0,0.3	
Air Traffic Chaos,6.9,0.05	
AirForce Delta Storm,6.65,0.2	
AirForce Delta Strike,6.4,0.11	
Airborne Troops: Countdown to D-Day,3.5,0.12	
Airline Tycoon,7.9,0.02	
Alan Wake,9.0,1.42	
Alexi Lalas International Soccer,5.5,0.07	
Alfa Romeo Racing Italiano,4.0,0.01	
Alias,7.3,0.16	
Alice: Madness Returns,6.5,1.22	
Alien Hominid,8.23333333333,0.19	
Alien Resurrection,6.5,0.16	
Alien Syndrome,5.75,0.14	
Alien Trilogy,8.0,0.47	
Alien: Isolation,5.9,2.45	
Aliens: Colonial Marines,4.66666666667,1.62	
Aliens: Infestation,8.0,0.18	
All Star Cheer Squad 2,7.0,0.13	
All-Pro Football 2K8,7.6,0.41	
All-Star Baseball 2000,7.5,0.39	
All-Star Baseball 2001,7.55,0.23	
All-Star Baseball 2002,7.6,0.78	
All-Star Baseball 2003,8.475,1.33	
All-Star Baseball 2004,8.025,0.7	
Alleyway,6.0,1.94	
Alone in the Dark,3.275,0.74	
Alone in the Dark: Inferno,6.8,0.14	
Alpha Protocol,6.3,0.87	
Alter Echo,6.8,0.18	
Altered Beast: Guardian of the Realms,7.5,0.09	
Alundra,8.5,0.23	
Alvin and the Chipmunks,2.6,0.27	
Amazing Adventures: The Forgotten Ruins,7.5,0.24	
Amazing Island,6.7,0.06	
America's Army: Rise of a Soldier,5.5,0.25	
America's Army: True Soldiers,3.7,0.08	
America's Test Kitchen: Let's Get Cooking,8.5,0.27	
American Bass Challenge,8.0,0.05	
American Chopper 2: Full Throttle,6.0,0.28	
American Idol,4.0,0.77	
Amped 2,9.0,0.25	
Amped 3,6.9,0.16	
Amped: Freestyle Snowboarding,8.5,0.82	
Amplitude,7.0,0.18	
Anarchy Reigns,5.9,0.38	
Andretti Racing,8.0,0.77	
Angry Birds Star Wars,8.8,1.9	
Angry Birds Trilogy,7.0,1.06	
Angry Birds,7.75,0.24	
Animal Crossing,9.1,3.15	
Animal Crossing: Amiibo Festival,5.0,0.42	
Animal Crossing: City Folk,7.5,4.68	
Animal Crossing: Happy Home Designer,8.0,2.98	
Animal Crossing: New Leaf,9.6,9.09	
Animal Crossing: Wild World,8.8,12.27	
Animal Genius,6.5,0.12	
Animal Paradise,5.0,0.25	
Animaniacs Ten Pin Alley,7.1,0.66	
