1,Wii Sports,Wii,2006,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74
2,Super Mario Bros.,NES,1985,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24
3,Mario Kart Wii,Wii,2008,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82
4,Wii Sports Resort,Wii,2009,Sports,Nintendo,15.75,11.01,3.28,2.96,33
5,Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,11.27,8.89,10.22,1,31.37
6,Tetris,GB,1989,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26
7,New Super Mario Bros.,DS,2006,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01
8,Wii Play,Wii,2006,Misc,Nintendo,14.03,9.2,2.93,2.85,29.02
9,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62
10,Duck Hunt,NES,1984,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31
11,Nintendogs,DS,2005,Simulation,Nintendo,9.07,11,1.93,2.75,24.76
12,Mario Kart DS,DS,2005,Racing,Nintendo,9.81,7.57,4.13,1.92,23.42
13,Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,9,6.18,7.2,0.71,23.1
14,Wii Fit,Wii,2007,Sports,Nintendo,8.94,8.03,3.6,2.15,22.72
15,Wii Fit Plus,Wii,2009,Sports,Nintendo,9.09,8.59,2.53,1.79,22
16,Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82
17,Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4
18,Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81
19,Super Mario World,SNES,1990,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61
20,Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,4.75,9.26,4.16,2.05,20.22
21,Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,6.42,4.52,6.04,1.37,18.36
22,Super Mario Land,GB,1989,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14
23,Super Mario Bros. 3,NES,1988,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28
24,Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38
25,Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15
26,Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85
27,Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo,5.57,3.28,5.65,0.82,15.32
28,Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,3.44,5.36,5.32,1.18,15.3
29,Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98
30,Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,9.03,4.28,0.13,1.32,14.76
31,Pokémon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64
32,Call of Duty: Black Ops,X360,2010,Shooter,Activision,9.67,3.73,0.11,1.13,14.64
33,Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,5.17,4.05,4.34,0.79,14.35
34,Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,5.77,5.81,0.35,2.31,14.24
35,Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,4.99,5.88,0.65,2.52,14.03
36,Call of Duty: Black Ops II,X360,2012,Shooter,Activision,8.25,4.3,0.07,1.12,13.73
37,Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,8.52,3.63,0.08,1.29,13.51
38,Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,5.54,5.82,0.49,1.62,13.46
39,Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1
40,Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,6.75,2.61,2.66,1.02,13.04
41,Call of Duty: Black Ops,PS3,2010,Shooter,Activision,5.98,4.44,0.48,1.83,12.73
42,Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,2.55,3.52,5.33,0.88,12.27
43,Mario Kart 7,3DS,2011,Racing,Nintendo,4.74,3.91,2.67,0.89,12.21
44,Halo 3,X360,2007,Shooter,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14
45,Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98
46,Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,Nintendo,4.4,2.77,3.96,0.77,11.9
47,Super Mario 64,N64,1996,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89
48,Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66
49,Super Mario Galaxy,Wii,2007,Platform,Nintendo,6.16,3.4,1.2,0.76,11.52
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,4.23,3.37,3.08,0.65,11.33
51,Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18
52,Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02
53,Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95
54,Super Mario 3D Land,3DS,2011,Platform,Nintendo,4.89,2.99,2.13,0.78,10.79
55,Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77
56,Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,4.99,3.69,0.38,1.63,10.69
57,Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57
58,Super Mario All-Stars,SNES,1993,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55
59,Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49
0,Amazing,LittleBigPlanet PS Vita,/games/littlebigplanet-vita/vita-98907,PlayStation Vita,9.0,Platformer,Y,2012,9,12
1,Amazing,LittleBigPlanet PS Vita -- Marvel Super Hero Edition,/games/littlebigplanet-ps-vita-marvel-super-hero-edition/vita-20027059,PlayStation Vita,9.0,Platformer,Y,2012,9,12
2,Great,Splice: Tree of Life,/games/splice/ipad-141070,iPad,8.5,Puzzle,N,2012,9,12
3,Great,NHL 13,/games/nhl-13/xbox-360-128182,Xbox 360,8.5,Sports,N,2012,9,11
4,Great,NHL 13,/games/nhl-13/ps3-128181,PlayStation 3,8.5,Sports,N,2012,9,11
5,Good,Total War Battles: Shogun,/games/total-war-battles-shogun/mac-142565,Macintosh,7.0,Strategy,N,2012,9,11
6,Awful,Double Dragon: Neon,/games/double-dragon-neon/xbox-360-131320,Xbox 360,3.0,Fighting,N,2012,9,11
7,Amazing,Guild Wars 2,/games/guild-wars-2/pc-896298,PC,9.0,RPG,Y,2012,9,11
8,Awful,Double Dragon: Neon,/games/double-dragon-neon/ps3-131321,PlayStation 3,3.0,Fighting,N,2012,9,11
9,Good,Total War Battles: Shogun,/games/total-war-battles-shogun/pc-142564,PC,7.0,Strategy,N,2012,9,11
10,Good,Tekken Tag Tournament 2,/games/tekken-tag-tournament-2/ps3-124584,PlayStation 3,7.5,Fighting,N,2012,9,11
11,Good,Tekken Tag Tournament 2,/games/tekken-tag-tournament-2/xbox-360-124581,Xbox 360,7.5,Fighting,N,2012,9,11
12,Good,Wild Blood,/games/wild-blood/iphone-139363,iPhone,7.0,,N,2012,9,10
13,Amazing,Mark of the Ninja,/games/mark-of-the-ninja-135615/xbox-360-129276,Xbox 360,9.0,"Action, Adventure",Y,2012,9,7
14,Amazing,Mark of the Ninja,/games/mark-of-the-ninja-135615/pc-143761,PC,9.0,"Action, Adventure",Y,2012,9,7
15,Okay,Home: A Unique Horror Adventure,/games/home-a-unique-horror-adventure/mac-20014750,Macintosh,6.5,Adventure,N,2012,9,6
16,Okay,Home: A Unique Horror Adventure,/games/home-a-unique-horror-adventure/pc-137135,PC,6.5,Adventure,N,2012,9,6
17,Great,Avengers Initiative,/games/avengers-initiative/iphone-141579,iPhone,8.0,Action,N,2012,9,5
18,Mediocre,Way of the Samurai 4,/games/way-of-the-samurai-4/ps3-23516,PlayStation 3,5.5,"Action, Adventure",N,2012,9,3
19,Good,JoJo's Bizarre Adventure HD,/games/jojos-bizarre-adventure/xbox-360-137717,Xbox 360,7.0,Fighting,N,2012,9,3
20,Good,JoJo's Bizarre Adventure HD,/games/jojos-bizarre-adventure/ps3-137896,PlayStation 3,7.0,Fighting,N,2012,9,3
21,Good,Mass Effect 3: Leviathan,/games/mass-effect-3-leviathan/xbox-360-138918,Xbox 360,7.5,RPG,N,2012,8,31
22,Good,Mass Effect 3: Leviathan,/games/mass-effect-3-leviathan/ps3-138915,PlayStation 3,7.5,RPG,N,2012,8,31
23,Good,Mass Effect 3: Leviathan,/games/mass-effect-3-leviathan/pc-138919,PC,7.5,RPG,N,2012,8,31
24,Amazing,Dark Souls (Prepare to Die Edition),/games/dark-souls-prepare-to-die-edition/pc-131930,PC,9.0,"Action, RPG",Y,2012,8,31
25,Good,Symphony,/games/symphony/pc-136470,PC,7.0,Shooter,N,2012,8,30
26,Amazing,Bastion,/games/bastion/ipad-140874,iPad,9.0,"Action, RPG",Y,2012,8,30
27,Good,Tom Clancy's Ghost Recon Phantoms,/games/tom-clancys-ghost-recon-online/pc-109114,PC,7.5,Shooter,N,2012,8,29
28,Great,Thirty Flights of Loving,/games/thirty-flights-of-loving/pc-138374,PC,8.0,Adventure,N,2012,8,29
29,Okay,Legasista,/games/legasista/ps3-127147,PlayStation 3,6.5,"Action, RPG",N,2012,8,28
30,Amazing,The Walking Dead: The Game -- Episode 3: Long Road Ahead,/games/the-walking-dead-season-1-episode-3/mac-135875,Macintosh,9.0,Adventure,Y,2012,8,28
31,Great,World of Warcraft: Mists of Pandaria,/games/world-of-warcraft-mists-of-pandaria/pc-114681,PC,8.7,RPG,Y,2012,10,4
32,Bad,Hell Yeah! Wrath of the Dead Rabbit,/games/hell-yeah-wrath-of-the-dead-rabbit/ps3-129409,PlayStation 3,4.9,Platformer,N,2012,10,4
33,Amazing,Pokemon White Version 2,/games/pokemon-white-version-2/nds-129228,Nintendo DS,9.6,RPG,Y,2012,10,3
34,Good,War of the Roses,/games/war-of-the-roses-140577/pc-115849,PC,7.3,Action,N,2012,10,3
35,Amazing,Pokemon Black Version 2,/games/pokemon-black-version-2/nds-129224,Nintendo DS,9.6,RPG,Y,2012,10,3
36,Okay,Drakerider,/games/drakerider/iphone-135745,iPhone,6.5,RPG,N,2012,10,3
37,Amazing,The Walking Dead: The Game -- Episode 3: Long Road Ahead,/games/the-walking-dead-season-1-episode-3/xbox-360-135872,Xbox 360,9.0,Adventure,Y,2012,8,28
38,Amazing,The Walking Dead: The Game -- Episode 3: Long Road Ahead,/games/the-walking-dead-season-1-episode-3/pc-135874,PC,9.0,Adventure,Y,2012,8,28
39,Amazing,The Walking Dead: The Game -- Episode 3: Long Road Ahead,/games/the-walking-dead-season-1-episode-3/ps3-135873,PlayStation 3,9.0,Adventure,Y,2012,8,28
40,Great,Rock Band Blitz,/games/rock-band-blitz/xbox-360-131273,Xbox 360,8.5,Music,Y,2012,8,27
41,Great,Counter-Strike: Global Offensive,/games/counter-strike-global-offensive/mac-116695,Macintosh,8.0,Shooter,N,2012,8,27
42,Great,Worms Revolution,/games/worms-revolution/ps3-131184,PlayStation 3,8.5,Strategy,N,2012,10,2
43,Great,Worms Revolution,/games/worms-revolution/pc-131183,PC,8.5,Strategy,N,2012,10,2
44,Great,Worms Revolution,/games/worms-revolution/xbox-360-131185,Xbox 360,8.5,Strategy,N,2012,10,2
45,Amazing,Bad Piggies,/games/bad-piggies/iphone-141455,iPhone,9.2,Action,Y,2012,10,1
46,Good,Resident Evil 6,/games/resident-evil-6/ps3-85710,PlayStation 3,7.9,"Action, Adventure",N,2012,10,1
47,Good,Resident Evil 6,/games/resident-evil-6/xbox-360-117995,Xbox 360,7.9,"Action, Adventure",N,2012,10,1
48,Good,Shad'O,/games/shado/pc-141293,PC,7.0,Adventure,N,2012,9,28
49,Okay,Demon's Score,/games/demons-score/iphone-118050,iPhone,6.9,Action,N,2012,9,27
50,Amazing,NBA 2K13,/games/nba-2k13/xbox-360-132080,Xbox 360,9.1,Sports,Y,2012,9,27
51,Great,Counter-Strike: Global Offensive,/games/counter-strike-global-offensive/pc-115451,PC,8.0,Shooter,N,2012,8,27
52,Amazing,The World Ends with You: Solo Remix,/games/the-world-ends-with-you-solo-remix/ipad-140661,iPad,9.5,RPG,Y,2012,8,27
53,Great,Counter-Strike: Global Offensive,/games/counter-strike-global-offensive/ps3-115453,PlayStation 3,8.0,Shooter,N,2012,8,27
54,Amazing,The World Ends with You: Solo Remix,/games/the-world-ends-with-you-solo-remix/iphone-140269,iPhone,9.5,RPG,Y,2012,8,27
55,Great,Counter-Strike: Global Offensive,/games/counter-strike-global-offensive/xbox-360-115452,Xbox 360,8.0,Shooter,N,2012,8,27
56,Okay,Madden NFL 13,/games/madden-nfl-2013/vita-128100,PlayStation Vita,6.0,Sports,N,2012,8,24
57,Amazing,Madden NFL 13,/games/madden-nfl-2013/ps3-128098,PlayStation 3,9.0,Sports,Y,2012,8,24
58,Amazing,Madden NFL 13,/games/madden-nfl-2013/xbox-360-128097,Xbox 360,9.0,Sports,Y,2012,8,24
59,Painful,Hoodwink,/games/hoodwink/pc-136672,PC,2.5,Adventure,N,2012,8,23
60,Amazing,NBA 2K13,/games/nba-2k13/ps3-132077,PlayStation 3,9.1,Sports,Y,2012,9,27
61,Amazing,NBA 2K13,/games/nba-2k13/pc-140490,PC,9.1,Sports,Y,2012,9,27
62,Good,Lili: Child of Geos,/games/lili/iphone-138013,iPhone,7.0,Adventure,N,2012,9,26
63,Great,Marvel vs. Capcom Origins,/games/marvel-vs-capcom-origins/xbox-360-137157,Xbox 360,8.2,Fighting,N,2012,9,26
64,Great,Marvel vs. Capcom Origins,/games/marvel-vs-capcom-origins/ps3-137160,PlayStation 3,8.2,Fighting,N,2012,9,26
65,Great,Dead or Alive 5,/games/dead-or-alive-5/ps3-117918,PlayStation 3,8.8,Fighting,N,2012,9,25
66,Great,Dead or Alive 5,/games/dead-or-alive-5/xbox-360-866449,Xbox 360,8.8,Fighting,N,2012,9,25
67,Bad,Medal of Honor Warfighter,/games/medal-of-honor-warfighter/pc-101082,PC,4.0,Shooter,N,2012,10,26
68,Great,Professor Layton and the Miracle Mask,/games/professor-layton-and-the-mask-of-miracle/3ds-77742,Nintendo 3DS,8.7,Adventure,Y,2012,10,26
69,Great,Hotline Miami,/games/hotline-miami/pc-139657,PC,8.8,Action,Y,2012,10,26
